# Data source file name = AL-1207-7062_SR-BENDA Magnet Specification.docx
# ref Radius (m) =0.005
# Brho (Tm) =6.671
# Data structure (AT multipole convention):
# multipole no., AT-A_n,   AT-B_n
1 0. 0.
2 0. 0.
3 0.5996102533353321 1.798830760005996
4 59.96102533353319 119.92205066706639
5 11992.20506670664 23984.41013341328
6 4.796882026682656e6 4.796882026682656e6
7 9.59376405336531e7 9.59376405336531e7
8 1.9187528106730618e10 1.9187528106730618e10
9 3.8375056213461245e12 3.8375056213461245e12
10 7.67501124269225e14 7.67501124269225e14
