# Data source file name = AL-1207-7063_SR-BENDB Magnet Specification.docx
# ref Radius (m) =0.005
# Brho (Tm) =6.671
# Data structure (AT multipole convention):
# multipole no., AT-A_n,   AT-B_n
1 0. 0.
2 0. 0.
3 0.10792984560035977 0.5096687153350323
4 10.792984560035976 10.792984560035976
5 959.3764053365313 959.3764053365313
6 119922.05066706642 119922.05066706642
7 2.3984410133413274e7 2.3984410133413274e7
8 4.796882026682654e9 4.796882026682654e9
9 9.593764053365311e11 9.593764053365311e11
10 1.9187528106730625e14 1.9187528106730625e14
